Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M59566487X;Carr, Amelia;Ein kleines Stück vom Himmel nur;2010;620;Belletristik;Die Großmutter, eine ehemalige englische Pilotin im 2. Weltkrieg, bittet ihre Enkelin, einen Fliegerorden dem ehemaligen Besitzer zurückzubringen. Damit enthüllt sie das Geheimnis um ihre ehemalige große Liebe. Das Nichtausgesprochene hatte tragische Auswirkungen auf alle Familienbeziehungen.
M599778656;Carr, Caleb;Die Einkreisung;2010;512;Krimi;1896, als der spätere US-Präsident noch Polizeichef von New York ist, verunsichert eine Mordserie die Bevölkerung. Roosevelt beauftragt eine 3köpfige Sondergruppe - einen Psychiater, einen Polizeireporter und eine Sekretärin - mit der Ermittlungsarbeit.
M595665214;Chang, Jung;Wilde Schwäne;1991;638;Belletristik;In der Lebensgeschichte der Autorin und ihrer Familie spiegeln sich die politischen und sozialen Umbrüche in China in den letzten hundert Jahren (von der Kaiserzeit bis in die 1990er Jahre) wider.
M595664913;Clarke, Gerald;Truman Capote;2007;767;Biografie;in Berlin. Erst im dramatischen Kriegsjahr 1944 kehrt sie auf das heimatliche Gut zurück und übernimmt
M595664515;Cleeves, Ann;Nacht der Raben;2006;427;Krimi;Erst als die Rote Armee im Januar 1945 schon weit nach Ostpreußen vorgedrungen ist, fällt Lena die schwere Entscheidung, mit ihren Gutsleuten die Flucht nach Westen anzutreten.
M595665624;Cleeves, Ann;Im kalten Licht des Frühlings;2009;429;Krimi;Als auf Whalsay, einem Teil der Shetlandinseln, während Ausgrabungsarbeiten ein Mord geschieht und Tage später auch noch die Leiterin der Ausgrabungen tot aufgefunden wird, weiß Detective Jimmy Perez, dass die Insel-Gemeinschaft ein Geheimnis verbirgt.
M595661181;Coe, Jonathan;Der Regen, bevor er fällt;2009;298;Belletristik;Rosalind nimmt kurz vor ihrem Tod ihre Familiengeschichte auf Cassette auf, um der Enkelin ihrer Cousine zu erklären, warum sie blind ist. Roman über Liebesentzug und die Beziehungen zwischen Frauen.
M595660973;David, Christian;Kinski;2006;447;Biographie;Die Biografie schildert das wilde Leben eines großen Künstlers (1926-1991), bei dem Höhenrausch und Abgrund oft nahe beieinander lagen.
M595665027;David-Néel, Alexandra;Mein Weg durch Himmel und Höllen;2010;317;Reisebericht;"Das Abenteuer ihres Lebens in Tibet; ein Reisebericht 1911-1925  "
M595660936;Deaver, Jeffrey;Gezinkt;2008;541;Krimi;Sechzehn packenden und abgründige Kurzgeschichte: im  Thriller-Genre. In Deavers doppelbödiger Welt voll atemberaubender Spannung und überraschender Wendungen gibt es letztlich nur zwei Gewissheiten: Nichts ist wie es scheint, und einer spielt immer mit gezinkten Karten …
M595665555;Degen, Michael;Der Steuerhinterzieher;2009;360;Belletristik;"Michael Degen übt in „Der Steuerhinterzieher"" scharfe Kritik an der Korrumpierbarkeit und Geldgier der Staatsdiener. Zugleich entwirft er ein kurzweiliges, mit spitzer Feder gezeichnetes Bild der feinen Hamburger Gesellschaft, entlarvt liebevoll und zugleich unerbittlich die Kleinbürgerlichkeit der Hanseaten. Wieder einmal beweist Michael Degen sein großartiges Gespür für genaue Milieuzeichnung, schräge Situationen, pointierte Dialoge und liebenswert seltsame Zeitgenossen."
M595665393;Degen, Michael;Mein heiliges Land;2008;315;Autobiografie;Mein heiliges Land : auf der Suche nach meinem verlorenen Bruder.
M595659257;Dibaba, Yared;Der Heimatforscher;2009;223;Erlebnisbericht;"Der in Norddeutschland bekannte TV-Moderator Dibaba (""Dibaba und Tietjen"", ""Land und Leute"") dokumentiert hier seine Interviews mit deutschstämmigen Auswanderern in der ganzen Welt."
M595664787;Dibaba, Yared;Platt is mien Welt;2009;105;Plattdeutsch;Platt is mien Welt : bei einer öffentlichen Veranstaltung im November 2009 in der Bücherhalle Hamburg aufgenommen
M595699390;Diers, Michaela;Wilhelm Busch;2008;194;Biografie;Wilhelm Busch : Leben und Werk
M595659375;Dönhoff, T. / Sperl, G.;Die Flucht;2008;334;Belletristik;Lena Gräfin von Mahlenberg lebt seit Ende der dreißiger Jahre in Berlin. Erst im dramatischen Kriegsjahr 1944 kehrt sie auf das heimatliche Gut zurück und übernimmt die gesamte Gutsverwaltung. Erst als die Rote Armee im Januar 1945 schon weit nach Ostpreußen vorgedrungen ist, fällt Lena die schwere Entscheidung, mit ihren Gutsleuten die Flucht nach Westen 
M595664608;Dostojewski, Fjodor M.;Schuld und Sühne;2006;776;Belletristik;"Rodion Raskolnikow, ein verarmter Student, ist von der Idee besessen, daß es dem ""großen"" Menschen erlaubt sei, ""lebensunwertes"" Leben zu vernichten, um ""lebenswertes"" zu erhalten. Er begeht einen Doppelmord. Doch der auf die Tat folgende physische Zusammenbruch zeigt, daß der Verstand nicht die einzige Schicht der menschlichen Persönlichkeit ist. "
M596270995;Dostojewski, Fjodor M.;Der Spieler;2008;197;Belletristik;"Glück in der Liebe oder im Spiel? Bisher glaubte er, seine Liebe zu dessen Tochter Polina sei der eigentliche Sinn seines Lebens. Doch nachdem er mit seinem letzten Goldstück 100.000 Florin gewonnen hat, ergreift mehr und mehr die Spielleidenschaft von ihm Besitz. 
"
M595664974;Dostojewski, Fjodor M.;Die Brüder Karamasow;2007;1.271;Belletristik;Die drei Brüder Karamasow kehren als Erwachsene in ihr Elternhaus zurück und begegnen ihrem Vater als einem alten lüsternen Trunkenbold. So groß ist ihre Verachtung, dass sie seinen Tod herbeiwünschen. Als er dann wirklich ermordet aufgefunden wird, fällt der Verdacht auf den ältesten Brüder Dimitrij. Er wird schuldig gesprochen und zu Zwangsarbeit in Sibirien verurteilt. 
M595661623;Doubek, Katja;August der Starke;2007;156;Biografie;Biografie August des Starken, Kurfürst von Sachsen und König von Polen (1670 - 1733).
M595661193;Draesner, Ulrike;Vorliebe;2010;253;Belletristik;Überrascht erlebt die Astrophysikerin Harriet, ausgefüllt von beruflichen Anforderungen, wie ihr Leben in neue Bahnen gerät, als sie ihren verheirateten Jugendfreund Peter wiedertrifft.
M595664540;Dürrenmatt, Friedrich;Der Besuch der alten Dame;1998;155;Tragikkomödie;Diese tragische Komödie spielt in der Kleinstadt Güllen in der Nähe der deutsch-schweizerischen Grenze. Die Geschichte handelt von der Milliardärin Claire Zachanassian, die nach Güllen zurückkehrt, um Rache an ihrem ehemaligen Geliebten zu nehmen.
