Mediennummer;Autor;Titel;Genre;Erscheinungsjahr;Umfang;Kurze Inhaltsangabe
M59 569 898 3;Jens, Inge und Walter;Auf der Suche nach dem verlorenen Sohn;Belletristik;2009;251;Er hat Schulden gemacht, mit ungedeckten Wechseln bezahlt, am Ende sogar den Familienschmuck versetzt: dieser Sohn war nicht mehr tragbar. Erik Pringsheim, der älteste Spross von Alfred und Hedwig Pringsheim, wurde vom Vater 1905 nach Argentinien verbannt. Doch seine Mutter ließ das Schicksal des Lieblingssohnes nicht ruhen. Zwei Jahre später reiste sie zu ihm und erlebte eine für sie neue, fremde Welt.
M58 741 826 5;Kaléko, Mascha;Verse für Zeitgenossen;Lyrik;2007;115;"Gedichte, die geprägt sind von Heimweh, Verlust, Sehnsucht; und dennoch schimmert immer wieder die Leichtigkeit und Schärfe, die Eleganz und der ironische Spott, der so viele ihrer kleinen lyrischen Perlen auszeichnet, durch."
M59 569 897 1;Klein, Stefan;Die Glücksformel;Belletristik;2008;590;"Die Glücksformel ist eine faszinierende Reportage und zugleich eine Anleitung zum Glücklichsein. Für ein glückliches Leben tun wir alles und schlittern von einem Unglück ins nächste. Jetzt  haben sich die Hirnforscher auf die Suche nach den Gefühlen gemacht. Erstmals lassen sich Empfindungen messen. Die Experimente offenbaren, wie in unseren Köpfen das Phänomen ""Glück"" entsteht - und sie eröffnen zugleich neue Möglichkeiten, das Glücklichsein zu lernen..."
M59 569 923 5;Lachauer, Ulla;Die Brücke  von Tilsit;Belletristik;2005;569;Begegnungen mit Preußens Osten und Russlands Westen. Mitten in Europa ist ein weißer Fleck. Wer heute die einst am besten bewachte Grenze der Sowjetunion hinter sich gelassen und den Weg über die Memel-Brücke ins frühere Tilsit genommen hat, muß sich fühlen wie auf einer Reise zu einem anderen Planeten.
M59 569 926 0;Lachauer, Ulla;Paradiesstr. ;Belletristik;2008;312;Die Politik hat ihr Leben nicht unberührt gelassen. Aber sie hat es auch nicht zu ändern vermocht. Noch einmal läßt Lena Grigoleit die Jahre an der Memel lebendig werden, erzählt von Tilsit und seinen…..
M59 566 161 1;Lachauer, Ulla;Ritas  Leute;Belletristik;2004;664;Rita Pauls ist eine junge, lebenslustige Frau. Selbstbewusst, von barocker Statur und mit einer schönen Gesangsstimme...
M60 126 348 8;Legatova, Kveta;Der Mann aus Zelary;Belletristik;2009;254;Das Schicksal einer jungen Städterin, die im 2. Weltkrieg in ein mährisch-slowakisches Bergdorf gerät und in dieser zurückgebliebenen Abgeschiedenheit zwar überlebt, aber dennoch einschneidende existenzielle Erfahrungen macht.
M59 569 902 4;Lewycka, Marina;Kurze Geschichte des Traktors auf Ukrainisch;Belletristik;2010;509;Der Überraschungserfolg von Marina Lewycka um die aus der Ukraine nach England immigrierte Familie Majewski.
M59 566 153 0;Loewe, Elke;Die Rosenbowle;Krimi;2003;350;Ein stimmungsvoller Kriminalroman für alle, die die nordeutsche Landschaft lieben. Valerie ist von Tom einfach sitzengelassen worden, und da kommt ihr Tante Robbies Einladung gerade recht. Doch das Haus am Deich ist leer, und im Bauerngarten sitzt die Leiche der alten Dame. Bald kennt sie all die freundlich-wortkargen Leute im Ort persönlich und sie könnte sich hier fast zu Hause fühlen - wenn nicht einige Fragen zu dem plötzlichen Todesfall offen blieben.
M59 566 158 X;Loewe, Elke;Teufelsmoor;Krimi;2004;329;Im Teufelsmoor bei Bremen müht sich eine arme Bauernfamilie über Generationen, der unwirtlichen Natur ein menschenwürdiges Leben abzuringen. Liebe und Hass, Neid und Bruderzwist, kleine Welt und große Politik bestimmen die Schicksale der Kehdings zwischen friderizianischer Zeit und Kaiserreich.
