Mediennummer;Autor;Titel;Genre;Erscheinungsjahr;Umfang;Kurze Inhaltsangabe
M59 281 904 X;Nesbø, Jo;Leopard;Krimi;2010;6;Als in Norwegen mehrere Frauen durch ein bestialisches Folterinstrument getötet werden, holt die Osloer Polizei Harry Hole aus Hongkong zurück. Hole stellt den brutalen Killer im kongolesischen Goma, Koltan spielt eine mörderische Rolle.
M59 281 905 1;Nicholls, David;Zwei an einem Tag;Belletristik;2010;6;Von 1988 bis 2007, immer am 15. Juli, werden wir Zeuge, wohin sich die Beziehung zwischen dem Lebemann Dexter und der klugen, eher bescheidenen Emma entwickelt: von einer unverbindlichen Liebesnacht über vorsichtige Annäherung zu tiefer Freundschaft. Doch wird es ein Happy End geben?
M59 281 938 0;Nicholls, David;Ewig Zweiter;Belletristik/Humor;2010;4;Stephen C. McQueen bastelt mit 32 Jahren immer noch an seiner Schauspielkarriere und wartet als Zweitbesetzung eines Theaterstückes im Londoner Westend auf den großen Durchbruch. Die Liebe zur Frau eines erfolgreicheren Schauspielkollegen wirbelt sein Leben und seine Ziele kräftig durcheinander.
M59 491 468 9;Oksanen, Sofi;Fegefeuer;Belletristik;2010;6;Die alte Estin Aliide Truu findet eines Morgens in ihrem Garten eine junge Frau, die Russin Zara, die auf der Flucht ist. Durch ein altes Foto wird der Greisin klar, dass sie die Enkelin ihrer Schwester Ingel, die vor Jahrzehnten deportiert worden war, vor sich hat.
M59 281 955 4;Parini, Jay;Ein russischer Sommer;Belletristik;2010;5;Tolstojs letztes Jahr
M59 281 927 4;Petterson, Per;Ich verfluche den Fluss der Zeit;Belletristik;2010;5;Arvids Mutter hat Krebs. Sie will auf ihre Weise damit umgehen, aber ihr längst erwachsener Sohn kann das nicht akzeptieren. Die Krankheit der Mutter wird ihm zum Anlass zahlreicher Reflexionen über das eigene Leben.
M60 051 176 9;Pötzsch, Oliver;Die Henkerstochter;Belletristik;2010;6;Schongau 1659: Als nacheinander 3 Kinder ermordet aufgefunden werden, beschuldigt man die Hebamme Martha Stechlin, eine Hexe zu sein. Nur der Henker Jakob Kuisl, der Medicus Simon und die Henkerstochter Magdalena sind von ihrer Unschuld überzeugt.
M59 281 926 2;Ragde, Anne B.;Das Lügenhaus;Belletristik;2009;4;3 Brüder treffen sich am Bett der sterbenden Mutter nach vielen Jahren wieder und stellen sich endlich ihrer Vergangenheit, damit sie sich annähern können.
M60 051 195 6;Ragde, Anne B.;Einsiedlerkrebse;Belletristik;2010;5;"Fortsetzung von ""Das Lügenhaus"": Tor will den unrentablen Hof weiterführen trotz einer gefährlichen Verletzung. Seine Tochter Torunn wird helfen, auch die Brüder wollen ihm zur Seite stehen, doch Tor ist verbittert."
M59 491 483 9;Ragde, Anne B.;Hitzewelle;Belletristik;2010;5;Letzter Band der Trilogie um den Neshov bei Trondheim: Torunn versorgt den Hof mehr recht als schlecht, versorgt die Schweine und den Großvater - notdürftig von einem Bauernhelfer und ihren beiden Onkeln unterstützt. Aber es ist zu viel.
M60 051 194 4;Rahimi, Atiq;Erde und Asche;Belletristik;2010;1;Ein alter Afghane verliert durch die sowjetischen Truppen fast seine gesamte Familie und macht sich gemeinsam mit seinem Enkel auf, seinem Sohn von den Verlusten zu berichten.
M59 281 941 2;Rankin, Ian;Ein reines Gewissen;Krimi;2010;6;"Malcolm Fox von der ""Internen Ermittlung"" der Polizei in Edinburgh soll einem Cop auf den Zahn fühlen, der verdächtigt wird, Kinderpornografie zu verbreiten. Fox findet keinen Beweis dafür, aber unvermittelt gerät er selbst ins Visier seiner Kollegen: Er soll einen Mord begangen haben ..."
M60 051 179 4;Rath, Hans;Da muss man durch;Belletristik;2010;4;"Unabhängige Fortsetzung von ""Man tut, was man kann"": Single Paul versucht, Ordnung in sein Leben zu bringen. Aber nicht nur seine Firma, auch seine Ex-Freundin, diverse Kumpels mit ungewöhnlichen Problemen und nicht zuletzt Hund Fred legen ihm jede Menge Steine in den Weg."
M59 281 935 5;Reich, Annika;Durch den Wind;Belletristik;2010;4;Yoko, Friederike, Alison und Siri leben in Berlin und gehören der Generation 30 plus an. Für die Freundinnen stellt sich die Frage, wo ihr Leben hingehen soll.
M600511875;Remus, Joscha;Shanghai;Reise;2008;2;Ein akustischer Tauchgang und eine abenteuerliche Klangreise: faszinierende Erzählungen, Interviews, Atmos, Live-Musik, Reportagen, Geschichte und Poesie.
M60 051 191 9;Rinke, Moritz;Der Mann, der durch das Jahrhundert fiel;Belletristik;2010;6;Paul kehrt in seine alte Heimat, die Künstlerkolonie Worpswede, zurück, wo das Haus des Großvaters saniert werden muss. Probleme der Familiengeschichte, Generationskonflikte, Lügen und Geheimnisse tauchen auf und belegen abgrundtiefe Lebensmotive.
M59 412 810 9;Rowohlt, Harry;Die schweinischsten Stellen aus dem Alten Testament;Belletristik;2006;1;Zwar haben Generationen von Theologen ihren Gelehrtenschweiß vergossen, um die anstößigen Stellen ins Gleichnishafte zu verklären, um aus einer obszönen Textsammlung ein Benimmbuch zu machen. Doch der Erfolg war recht gering. Die Bibel behielt ihre erotische Wucht, auch ihre Spannungen und die Lebendigkeit, die sie immer wieder lesenswert macht - oder eben hörenswert (vor allem wenn Harry Rowohlt den Hohepriester gibt).
M59 281 981 0;Schiller, Friedrich von;Adorf liest Schiller;Lyrik;2009;1;"Mario Adorf liest bekannte Balladen von Friedrich Schiller (1759-1805): ""Der Ring des Polykrates"", ""Die Kraniche des Ibykus"", ""Der Gang nach dem Eisenhammer"", ""Der Handschuh"", ""Der Taucher"", ""Die Bürgschaft"", ""Die Teilung der Erde"" und ""Hoffnung""."
M59 491 492 1;Schirach, Ferdinand von;Verbrechen;Belletristik;2010;3;Der Autor, Anwalt und Strafverteidiger in Berlin, stellt ungewöhnliche Fälle aus seiner Praxis vor, in denen Angeklagte Hilfestellung von einer humanen Justiz erfahren und milde Urteile erreichen.
M60 051 225 7;Schlenz, Kester;Alter Sack, was nun?;Belletristik;2009;2;Sammlung von Informationen, Überlegungen, Schlussfolgerungen und Merksätzen zu allen Themen, die den Männern auf der falschen Seite von 50 begegnen.
M59 281 961 1;Schmidt, Helmut / Stern, Fritz;Unser Jahrhundert;Geschichte;2010;5;Der ehemalige Bundeskanzler und der aus Deutschland stammende amerikanische Historiker führen Gespräche über allgemein interessierende Themen der jüngsten deutschen Geschichte und zu aktuellen internationalen Fragen.
M60 051 180 2;Schmidt, Kathrin;Du stirbst nicht;Belletristik;2010;5;Helene ist nach einem Hirnschlag nur knapp dem Tod entronnen. Langsam und begleitet von vielen Rückschlägen findet sie über die Stück für Stück wiederkehrenden Erinnerungen den Weg zurück ins Leben.
M59 281 965 9;Scholl-Latour, Peter;Die Angst des weißen Mannes;Politik;2010;4;Die Maßstäbe einer einstmals kolonial geprägten Welt, die bis vor Kurzem noch unumstößlich schienen, verlieren ihre Gültigkeit. Die unterdrückten, ausgebeuteten Staaten orientieren sich neu, sie sind die Gewinner von morgen.
M59 281 964 7;Scholl-Latour, Peter;Der Weg in den den neuen Kalten Krieg;Politik;2010;4;Der bekannte Journalist beschreibt die Veränderungen des globalen Machtgefüges.
M59 137 977 4;Schulz, Frank;Mehr Liebe - Heikle Geschichten;Belletristik;2010;2;22 taktvolle Liebesgeschichten, gelesen vom Autor und den Co-Interpreten Rowohlt und Jordan, in denen überwiegend nicht mehr ganz junge Protagonisten Herzensangelegenheiten zu verkraften versuchen. Dies gestaltet sich trotz einem gerüttelt Maß an Abgeklärtheit und Lebenserfahrung nicht immer leicht.
M59 412 812 2;Schweikert, Ulrike;Das Herz der Nacht;Belletristik;2010;6;Als sich die Gräfin Kinsky im Wien des 19. Jahrhunderts in einen Fürsten aus den Karpaten verliebt, ahnt sie nicht, dass er ein Vampir ist. Andras gerät jedoch bald unter Verdacht, als immer wieder Frauen mit zerfetzter Kehle gefunden werden. Er ist unschuldig und muss den Mörder zur Strecke bringen.
M60 051 182 6;Simenon, Georges;Fünf Fälle für Maigret;Krimi;2010;4;Erzählungen
M59 281 908 7;Suter, Martin;Der Koch;Krimi;2010;6;"Maravan, Koch aus Sri Lanka, lebt als Asylsuchender in Zürich. Mit seiner Kollegin startet er einen Catering-Service der aphrodisischen Art. Doch der Erfolg lockt auch zwielichtige Kundschaft aus Politik und Wirtschaft; so lassen die Probleme nicht lange auf sich warten."
M59 281 928 6;Swann, Leonie;Glennkill - ein Schafskrimi;Krimi;2010;4;Das Schaf Miss Maple aus dem idyllischen irischen Dorf Glennkill versucht mit ihrem kriminalistischen Scharfsinn, den rätselhaften Mord an Schäfer George aufzuklären.
M59 281 944 8;Swann, Leonie;Garou - ein Schafskrimi;Krimi;2010;5;Fortsetzung von Glennkill: Rebecca und die Schafe machen eine Europareise! Im französischen Winterquartier erhalten sie eine mysteriöse Warnung vor einem Werwolf. Doch wer hat den Toten, den es bald darauf zu beklagen gibt, wirklich auf dem Gewissen?
M60 051 221 X;t'Hart, Maarten;Der Schneeflockenbaum;Belletristik;2010;6;Die Hauptperson muss erfahren, dass sein bester Freund Jouri ihm schon seit der Zeit im Kindergarten die Freundinnen ausspannt.
M59 281 936 7;Theorin, Johan;Öland;Krimi;2010;1;Julias Sohn ist vor 20 Jahren verschwunden. Als ihr alter Vater eine Spur entdeckt, beginnen sie noch einmal gemeinsam, nach der Wahrheit zu suchen.
M59 281 929 8;Theorin, Johan;Nebelsturm;Krimi;2009;5;2. Folge der Tetralogie um die Insel Öland: Die junge Familie Westin zieht in den rauhen Norden auf einen Hof, auf dem viel gestorben wurde. Als Katrine ertrinkt, stellt sich die Frage: War es Mord?
M60 051 219 X;Thome, Stefan;Grenzgang;Belletristik;2010;6;"In einer Provinzstadt findet alle 7 Jahre ein überschäumendes, ""Grenzgang"" genanntes Heimatfest statt. Der geschiedenen Kerstin, dem desillusionierten Thomas und Karen, die die Stadt nie verließ, ist gemeinsam ein beängstigendes Gefühl zwischen Resignation und Euphorie";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
