Mediennummer;Autor;Titel;Genre;Erscheinungsjahr;Umfang;Kurze Inhaltsangabe
M60 099 609 4;Allende, Isabel;Die Insel unter dem Meer;Belletristik;2010;8;Zarité lebt als Sklavin in der französichen Kolonie Saint-Domingue (dem heutigen Haiti). Sie erledigt ihre Arbeit und fügt sich scheinbar. Doch Zarité ist klug und stark und träumt von Freiheit. Während der Sklavenaufstände flieht sie nach Kuba und weiter nach New Orleans.;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel;Allende, Isabel
M60 099 613 8;Baldacci, David;Mit jedem Schlag der Stunde;Thriller;2008;6;Ausgerechnet eine friedliche Kleinstadt in Virginia wird von grausamem Morden heimgesucht. Ein Zusammenhang wird schnell klar durch die Armhaltung der Mordopfer und die zu einer vollen Stunde stehengebliebene Uhr an deren Handgelenk. Die ehemaligen Secret Service-Agenten Michele Maxwell und Sean King werden von der örtlichen Polizei angeheuert und geraten tief in den Strudel dieses Falls hinein und damit ins Visier des Mörders. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M60 099 665 4;"Bechstein, Ludwig; Arnold, Frank; Zimber, Corinna; Reiß, Sebastian";Hausschatz deutscher Märchen;Märchen;2010;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M60 099 641 8;Busch, Goethe, Heine;Lacharchiv - Hausschatz des deutschen Humors;Humor;2010;4;
M60 099 664 2;Capote, Truman;Frühstück bei Tiffany;Belletristik;2007;3;Holly Golightly, eine bezaubernde Neurotikerin, die von Geschenken der Männer lebt, ist eine verlockende Figur in Designer-Kostümen und Strassschmuck. Ihr  Nachbar, ein nicht besonders erfolgreicher Schriftsteller, wird von einer älteren Frau ausgehalten.  Seine wachsende Freundschaft zu Holly wird bald zu einer Liebesbeziehung und bedroht die zerbrechliche Balance der Kompromisse, aus denen das Leben der Beiden besteht.
M60 099 625 6;Coelho, Paulo;Der Sieger bleibt allein;Belletristik;2009;6;Der Roman spielt auf dem Filmfestival in Cannes: Wer den roten Teppich betritt, hat es geschafft. Doch Macht und Reichtum machen nicht glücklich und diejenigen, die ganz oben stehen, überkommt bald ein Gefühl der Einsamkeit.
M600996946;Kuttner, Sarah;mängelexemplar;Belletristik;2009;5;"Ernüchtert, doch nicht nüchtern leidet Scheidungskind Karo an sich selbst und am anstrengenden Lebenspielen, bis sie endlich ""richtig kaputt geht"". Beginn ironischer Selbstbeobachtung, die Verlorenheit und Selbstentfremdung junger Erwachsener auf den Punkt bringt."








;Plattdeutsche Hörbücher;;;;;
M59 281 969 6;Abeln, Ludger;L.Abeln vertellt;;2008;1;
M59 281 971 6;Andersen, Hans Christian;Andersen op platt;;2008;1;
M59 491 490 8;Bessen, Edgar;Lach di gesund !;;2008;1;
M60 051 234 X;Bull, Reimer;Op un daal;;2006;1;Lust- un Lastgeschichten
M594914888;Bull, Reimer;Is allens anners as güstern;;2010;1;anner Tieden, anner Geschichten
M59 491 462 8;Bull, Reimer;Dünnersdag, klock acht, Stammdisch;;2008;1;Dünnersdag, Klock acht, Stammdisch
M59 491 461 6;Bull, Reimer;Wiehnachten (so oder so);;2003;1;
M59 491 460 4;Bull,Reimer;Op Visiten bi Klaus Groth mit Reimer Bull;;2008;1;
M592819684;Carstensen, Peter Harry;P.H.Carstensen vertellt Riemels un Geschichten;;2008;1;
M59 281 953 0;Dibaba, Yared;Platt is mien Welt;;2010;1;bei einer öffentlichen Veranstaltung im November 2009 in der Bücherhalle Hamburg aufgenommen
M594914876;Heise-Batt, Christa;Dat lustige plattdüütsche Hörbook;;2008;1;
"M592819542
M587423125";kein Autor;Dat groote plattdüütsche Hörbook;;2005;1;
M58 705 394 7;kein Autor;Hör mal ´n beten to- Dat Hörbook;;2006;1;
M59 281 956 6;kein Autor;Plattdüütsche Wiehnachten;;2005;1;
"M58 691 812 4, 
M59 281 957 8";Müller, Ina;Schöönheit vergeiht, Hektar besteiht;;2006;1;"Live-Mitschnitt einer Lesung ; bei einer Veranstaltung im St.-Pauli-Theater im Dezember 2005 in Hamburg aufgenommen / Ina Müller"
M600512282;Rowling, Joanne K.;Harry Potter un de Wunnersteen;Fantasie;2008;9;Nach dem Tod seiner Eltern lebt Harry Potter bei grässlichen Verwandten. Als er zu seinem 11. Geburtstag die Berufung an die Hexen- und Zaubererschule erhält, ändert sich sein Leben gründlich. Er lernt Freundschaft, aber auch Feindschaft kennen und erlebt das lustigste Jahr seines Lebens.
M59491489X;Spiekermann, Gerd;Nu heff Di man nich so !;;2010;1;Live-Mitschnitt einer Lesung
M59281958X;Spiekermann, Gerd;Ick pack ut !;;2007;1;
M59 281 975 3;Verlag: Wachholtz;Vertell doch mal 1;;2000;1;NDR Lesungen
M59 281 976 5;Verlag: Wachholtz;Vertell doch mal 2;;2007;1
